,Player_Name,Team,Position,Goals_Scored,Assists,Yellow_Cards,Red_Cards
0,Lloyd Sampson,Aston Villa,Forward,8,7,2,1
1,Dorothy C. Stratton,Aston Villa,Midfielder,0,6,4,1
2,Willis Hall,Burnley,Goalkeeper,8,9,1,0
3,Cleveland Hall,Arsenal,Defender,7,4,5,0
4,Elmer Stone,Watford,Midfielder,2,0,0,1
5,Charles David Jr.,Southampton,Forward,6,9,2,0
6,Frank Erickson,Brentford,Midfielder,5,6,1,0
7,Paul F. Zukunft,Watford,Defender,4,8,1,1
8,Richard Etheridge,Chelsea,Goalkeeper,1,4,3,0
9,Jack Dempsey,Arsenal,Forward,8,0,5,1
10,William R. Flores,Leicester City,Midfielder,4,4,1,0
11,Grace Hopper,Brentford,Defender,3,3,4,1
12,Vivien Crea,Manchester United,Forward,9,5,1,0
13,Ida Lewis,Chelsea,Midfielder,3,6,0,0
14,Douglas Munro,Arsenal,Goalkeeper,3,4,5,1
